filepath,label
data/raw/Training\pituitary\Tr-pi_456.jpg,pituitary
data/raw/Training\glioma\Tr-gl_1379.jpg,glioma
data/raw/Training\notumor\Tr-no_1006.jpg,notumor
data/raw/Training\meningioma\Tr-aug-me_65.jpg,meningioma
data/raw/Training\glioma\Tr-gl_372.jpg,glioma
data/raw/Training\pituitary\Tr-pi_1040.jpg,pituitary
data/raw/Training\glioma\Tr-gl_419.jpg,glioma
data/raw/Training\meningioma\Tr-me_1132.jpg,meningioma
data/raw/Training\notumor\Tr-no_416.jpg,notumor
data/raw/Training\meningioma\Tr-me_722.jpg,meningioma
data/raw/Training\glioma\Tr-gl_1368.jpg,glioma
data/raw/Training\glioma\Tr-gl_1012.jpg,glioma
data/raw/Training\pituitary\Tr-pi_100.jpg,pituitary
data/raw/Training\notumor\Tr-no_575.jpg,notumor
data/raw/Training\notumor\Tr-no_553.jpg,notumor
data/raw/Training\meningioma\Tr-me_217.jpg,meningioma
data/raw/Training\glioma\Tr-gl_1324.jpg,glioma
data/raw/Training\pituitary\Tr-pi_1027.jpg,pituitary
data/raw/Training\meningioma\Tr-me_745.jpg,meningioma
data/raw/Training\meningioma\Tr-me_352.jpg,meningioma
data/raw/Training\glioma\Tr-gl_103.jpg,glioma
data/raw/Training\glioma\Tr-gl_871.jpg,glioma
data/raw/Training\glioma\Tr-gl_123.jpg,glioma
data/raw/Training\notumor\Tr-no_1145.jpg,notumor
data/raw/Training\glioma\Tr-gl_1371.jpg,glioma
data/raw/Training\pituitary\Tr-pi_163.jpg,pituitary
data/raw/Training\meningioma\Tr-me_901.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_1118.jpg,pituitary
data/raw/Training\glioma\Tr-gl_1002.jpg,glioma
data/raw/Training\meningioma\Tr-me_472.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_63.jpg,pituitary
data/raw/Training\meningioma\Tr-me_514.jpg,meningioma
data/raw/Training\glioma\Tr-gl_264.jpg,glioma
data/raw/Training\pituitary\Tr-pi_138.jpg,pituitary
data/raw/Training\meningioma\Tr-me_405.jpg,meningioma
data/raw/Training\meningioma\Tr-me_234.jpg,meningioma
data/raw/Training\glioma\Tr-gl_851.jpg,glioma
data/raw/Training\pituitary\Tr-pi_151.jpg,pituitary
data/raw/Training\notumor\Tr-no_1087.jpg,notumor
data/raw/Training\glioma\Tr-gl_1306.jpg,glioma
data/raw/Training\notumor\Tr-no_7.jpg,notumor
data/raw/Training\glioma\Tr-gl_229.jpg,glioma
data/raw/Training\notumor\Tr-no_937.jpg,notumor
data/raw/Training\glioma\Tr-gl_306.jpg,glioma
data/raw/Training\pituitary\Tr-pi_350.jpg,pituitary
data/raw/Training\notumor\Tr-no_813.jpg,notumor
data/raw/Training\glioma\Tr-gl_171.jpg,glioma
data/raw/Training\glioma\Tr-gl_491.jpg,glioma
data/raw/Training\meningioma\Tr-me_682.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_776.jpg,pituitary
data/raw/Training\glioma\Tr-gl_528.jpg,glioma
data/raw/Training\glioma\Tr-gl_1276.jpg,glioma
data/raw/Training\glioma\Tr-gl_162.jpg,glioma
data/raw/Training\pituitary\Tr-pi_263.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_1125.jpg,pituitary
data/raw/Training\notumor\Tr-no_566.jpg,notumor
data/raw/Training\notumor\Tr-no_485.jpg,notumor
data/raw/Training\pituitary\Tr-pi_1159.jpg,pituitary
data/raw/Training\glioma\Tr-gl_27.jpg,glioma
data/raw/Training\glioma\Tr-gl_43.jpg,glioma
data/raw/Training\meningioma\Tr-me_248.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_1126.jpg,pituitary
data/raw/Training\notumor\Tr-no_531.jpg,notumor
data/raw/Training\notumor\Tr-no_885.jpg,notumor
data/raw/Training\pituitary\Tr-pi_882.jpg,pituitary
data/raw/Training\notumor\Tr-no_723.jpg,notumor
data/raw/Training\glioma\Tr-gl_647.jpg,glioma
data/raw/Training\notumor\Tr-no_2.jpg,notumor
data/raw/Training\notumor\Tr-no_1288.jpg,notumor
data/raw/Training\glioma\Tr-gl_1212.jpg,glioma
data/raw/Training\notumor\Tr-no_1338.jpg,notumor
data/raw/Training\meningioma\Tr-me_52.jpg,meningioma
data/raw/Training\notumor\Tr-no_61.jpg,notumor
data/raw/Training\glioma\Tr-gl_22.jpg,glioma
data/raw/Training\pituitary\Tr-pi_325.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_526.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_1252.jpg,pituitary
data/raw/Training\glioma\Tr-gl_945.jpg,glioma
data/raw/Training\notumor\Tr-no_533.jpg,notumor
data/raw/Training\notumor\Tr-no_978.jpg,notumor
data/raw/Training\glioma\Tr-gl_57.jpg,glioma
data/raw/Training\notumor\Tr-no_359.jpg,notumor
data/raw/Training\notumor\Tr-no_1253.jpg,notumor
data/raw/Training\glioma\Tr-gl_492.jpg,glioma
data/raw/Training\glioma\Tr-gl_365.jpg,glioma
data/raw/Training\notumor\Tr-no_599.jpg,notumor
data/raw/Training\meningioma\Tr-me_1018.jpg,meningioma
data/raw/Training\meningioma\Tr-me_1049.jpg,meningioma
data/raw/Training\glioma\Tr-gl_820.jpg,glioma
data/raw/Training\pituitary\Tr-pi_833.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_315.jpg,pituitary
data/raw/Training\notumor\Tr-no_1179.jpg,notumor
data/raw/Training\pituitary\Tr-pi_1148.jpg,pituitary
data/raw/Training\notumor\Tr-no_47.jpg,notumor
data/raw/Training\glioma\Tr-gl_348.jpg,glioma
data/raw/Training\glioma\Tr-gl_525.jpg,glioma
data/raw/Training\pituitary\Tr-pi_440.jpg,pituitary
data/raw/Training\notumor\Tr-no_998.jpg,notumor
data/raw/Training\notumor\Tr-no_1305.jpg,notumor
data/raw/Training\meningioma\Tr-me_1217.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_149.jpg,pituitary
data/raw/Training\meningioma\Tr-me_299.jpg,meningioma
data/raw/Training\meningioma\Tr-me_924.jpg,meningioma
data/raw/Training\notumor\Tr-no_947.jpg,notumor
data/raw/Training\glioma\Tr-gl_514.jpg,glioma
data/raw/Training\notumor\Tr-no_574.jpg,notumor
data/raw/Training\glioma\Tr-gl_1217.jpg,glioma
data/raw/Training\notumor\Tr-no_580.jpg,notumor
data/raw/Training\notumor\Tr-no_460.jpg,notumor
data/raw/Training\meningioma\Tr-me_654.jpg,meningioma
data/raw/Training\meningioma\Tr-me_710.jpg,meningioma
data/raw/Training\meningioma\Tr-me_357.jpg,meningioma
data/raw/Training\meningioma\Tr-me_74.jpg,meningioma
data/raw/Training\glioma\Tr-gl_555.jpg,glioma
data/raw/Training\pituitary\Tr-pi_1253.jpg,pituitary
data/raw/Training\glioma\Tr-gl_1321.jpg,glioma
data/raw/Training\pituitary\Tr-pi_541.jpg,pituitary
data/raw/Training\glioma\Tr-gl_100.jpg,glioma
data/raw/Training\pituitary\Tr-pi_638.jpg,pituitary
data/raw/Training\glioma\Tr-gl_121.jpg,glioma
data/raw/Training\meningioma\Tr-me_65.jpg,meningioma
data/raw/Training\notumor\Tr-no_1280.jpg,notumor
data/raw/Training\notumor\Tr-no_298.jpg,notumor
data/raw/Training\notumor\Tr-no_826.jpg,notumor
data/raw/Training\notumor\Tr-no_352.jpg,notumor
data/raw/Training\meningioma\Tr-me_772.jpg,meningioma
data/raw/Training\meningioma\Tr-me_880.jpg,meningioma
data/raw/Training\meningioma\Tr-me_823.jpg,meningioma
data/raw/Training\meningioma\Tr-me_4.jpg,meningioma
data/raw/Training\meningioma\Tr-me_630.jpg,meningioma
data/raw/Training\meningioma\Tr-aug-me_89.jpg,meningioma
data/raw/Training\meningioma\Tr-me_384.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_800.jpg,pituitary
data/raw/Training\meningioma\Tr-aug-me_35.jpg,meningioma
data/raw/Training\glioma\Tr-gl_1118.jpg,glioma
data/raw/Training\glioma\Tr-gl_1035.jpg,glioma
data/raw/Training\glioma\Tr-gl_1090.jpg,glioma
data/raw/Training\glioma\Tr-gl_779.jpg,glioma
data/raw/Training\meningioma\Tr-me_329.jpg,meningioma
data/raw/Training\glioma\Tr-gl_1328.jpg,glioma
data/raw/Training\meningioma\Tr-me_1151.jpg,meningioma
data/raw/Training\notumor\Tr-no_681.jpg,notumor
data/raw/Training\meningioma\Tr-me_328.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_1140.jpg,pituitary
data/raw/Training\glioma\Tr-gl_498.jpg,glioma
data/raw/Training\notumor\Tr-no_1081.jpg,notumor
data/raw/Training\notumor\Tr-no_1055.jpg,notumor
data/raw/Training\pituitary\Tr-pi_828.jpg,pituitary
data/raw/Training\glioma\Tr-gl_74.jpg,glioma
data/raw/Training\meningioma\Tr-me_877.jpg,meningioma
data/raw/Training\meningioma\Tr-me_973.jpg,meningioma
data/raw/Training\notumor\Tr-no_1312.jpg,notumor
data/raw/Training\glioma\Tr-gl_946.jpg,glioma
data/raw/Training\glioma\Tr-gl_354.jpg,glioma
data/raw/Training\meningioma\Tr-me_1068.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_1400.jpg,pituitary
data/raw/Training\glioma\Tr-gl_211.jpg,glioma
data/raw/Training\glioma\Tr-gl_740.jpg,glioma
data/raw/Training\pituitary\Tr-pi_904.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_623.jpg,pituitary
data/raw/Training\glioma\Tr-gl_390.jpg,glioma
data/raw/Training\pituitary\Tr-pi_1165.jpg,pituitary
data/raw/Training\glioma\Tr-gl_1331.jpg,glioma
data/raw/Training\glioma\Tr-gl_56.jpg,glioma
data/raw/Training\glioma\Tr-gl_384.jpg,glioma
data/raw/Training\pituitary\Tr-pi_416.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_141.jpg,pituitary
data/raw/Training\glioma\Tr-gl_433.jpg,glioma
data/raw/Training\notumor\Tr-no_824.jpg,notumor
data/raw/Training\glioma\Tr-gl_959.jpg,glioma
data/raw/Training\pituitary\Tr-pi_124.jpg,pituitary
data/raw/Training\notumor\Tr-no_921.jpg,notumor
data/raw/Training\glioma\Tr-gl_1346.jpg,glioma
data/raw/Training\meningioma\Tr-me_170.jpg,meningioma
data/raw/Training\glioma\Tr-gl_1341.jpg,glioma
data/raw/Training\meningioma\Tr-me_1296.jpg,meningioma
data/raw/Training\meningioma\Tr-me_557.jpg,meningioma
data/raw/Training\meningioma\Tr-me_735.jpg,meningioma
data/raw/Training\meningioma\Tr-me_504.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_1120.jpg,pituitary
data/raw/Training\glioma\Tr-gl_1085.jpg,glioma
data/raw/Training\notumor\Tr-no_747.jpg,notumor
data/raw/Training\meningioma\Tr-me_42.jpg,meningioma
data/raw/Training\meningioma\Tr-me_106.jpg,meningioma
data/raw/Training\meningioma\Tr-me_1250.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_961.jpg,pituitary
data/raw/Training\glioma\Tr-gl_1384.jpg,glioma
data/raw/Training\glioma\Tr-gl_1185.jpg,glioma
data/raw/Training\pituitary\Tr-pi_562.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_1393.jpg,pituitary
data/raw/Training\meningioma\Tr-me_593.jpg,meningioma
data/raw/Training\notumor\Tr-no_1162.jpg,notumor
data/raw/Training\meningioma\Tr-me_938.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_1347.jpg,pituitary
data/raw/Training\meningioma\Tr-me_1265.jpg,meningioma
data/raw/Training\notumor\Tr-no_706.jpg,notumor
data/raw/Training\pituitary\Tr-pi_1087.jpg,pituitary
data/raw/Training\glioma\Tr-gl_135.jpg,glioma
data/raw/Training\pituitary\Tr-pi_132.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_779.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_1006.jpg,pituitary
data/raw/Training\meningioma\Tr-me_697.jpg,meningioma
data/raw/Training\glioma\Tr-gl_19.jpg,glioma
data/raw/Training\pituitary\Tr-pi_338.jpg,pituitary
data/raw/Training\meningioma\Tr-me_120.jpg,meningioma
data/raw/Training\glioma\Tr-gl_596.jpg,glioma
data/raw/Training\pituitary\Tr-pi_864.jpg,pituitary
data/raw/Training\glioma\Tr-gl_1.jpg,glioma
data/raw/Training\pituitary\Tr-pi_259.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_251.jpg,pituitary
data/raw/Training\notumor\Tr-no_408.jpg,notumor
data/raw/Training\meningioma\Tr-me_293.jpg,meningioma
data/raw/Training\meningioma\Tr-me_1163.jpg,meningioma
data/raw/Training\meningioma\Tr-me_860.jpg,meningioma
data/raw/Training\notumor\Tr-no_1143.jpg,notumor
data/raw/Training\notumor\Tr-no_1092.jpg,notumor
data/raw/Training\notumor\Tr-no_521.jpg,notumor
data/raw/Training\notumor\Tr-no_224.jpg,notumor
data/raw/Training\glioma\Tr-gl_141.jpg,glioma
data/raw/Training\pituitary\Tr-pi_498.jpg,pituitary
data/raw/Training\meningioma\Tr-me_477.jpg,meningioma
data/raw/Training\meningioma\Tr-me_1092.jpg,meningioma
data/raw/Training\notumor\Tr-no_198.jpg,notumor
data/raw/Training\pituitary\Tr-pi_1139.jpg,pituitary
data/raw/Training\notumor\Tr-no_740.jpg,notumor
data/raw/Training\glioma\Tr-gl_628.jpg,glioma
data/raw/Training\glioma\Tr-gl_1136.jpg,glioma
data/raw/Training\meningioma\Tr-me_189.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_1259.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_1029.jpg,pituitary
data/raw/Training\meningioma\Tr-me_1297.jpg,meningioma
data/raw/Training\glioma\Tr-gl_801.jpg,glioma
data/raw/Training\meningioma\Tr-aug-me_36.jpg,meningioma
data/raw/Training\meningioma\Tr-me_22.jpg,meningioma
data/raw/Training\meningioma\Tr-me_1179.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_495.jpg,pituitary
data/raw/Training\meningioma\Tr-me_712.jpg,meningioma
data/raw/Training\glioma\Tr-gl_845.jpg,glioma
data/raw/Training\glioma\Tr-gl_1340.jpg,glioma
data/raw/Training\meningioma\Tr-me_1024.jpg,meningioma
data/raw/Training\glioma\Tr-gl_907.jpg,glioma
data/raw/Training\meningioma\Tr-me_210.jpg,meningioma
data/raw/Training\meningioma\Tr-me_704.jpg,meningioma
data/raw/Training\meningioma\Tr-me_1262.jpg,meningioma
data/raw/Training\glioma\Tr-gl_904.jpg,glioma
data/raw/Training\notumor\Tr-no_671.jpg,notumor
data/raw/Training\glioma\Tr-gl_1026.jpg,glioma
data/raw/Training\meningioma\Tr-me_840.jpg,meningioma
data/raw/Training\glioma\Tr-gl_977.jpg,glioma
data/raw/Training\meningioma\Tr-me_1079.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_957.jpg,pituitary
data/raw/Training\meningioma\Tr-me_1073.jpg,meningioma
data/raw/Training\glioma\Tr-gl_3.jpg,glioma
data/raw/Training\notumor\Tr-no_64.jpg,notumor
data/raw/Training\pituitary\Tr-pi_150.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_1200.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_927.jpg,pituitary
data/raw/Training\glioma\Tr-gl_591.jpg,glioma
data/raw/Training\meningioma\Tr-me_1125.jpg,meningioma
data/raw/Training\notumor\Tr-no_157.jpg,notumor
data/raw/Training\notumor\Tr-no_901.jpg,notumor
data/raw/Training\pituitary\Tr-pi_425.jpg,pituitary
data/raw/Training\notumor\Tr-no_1353.jpg,notumor
data/raw/Training\meningioma\Tr-me_1071.jpg,meningioma
data/raw/Training\glioma\Tr-gl_194.jpg,glioma
data/raw/Training\glioma\Tr-gl_896.jpg,glioma
data/raw/Training\pituitary\Tr-pi_458.jpg,pituitary
data/raw/Training\notumor\Tr-no_771.jpg,notumor
data/raw/Training\meningioma\Tr-me_331.jpg,meningioma
data/raw/Training\meningioma\Tr-me_947.jpg,meningioma
data/raw/Training\meningioma\Tr-me_457.jpg,meningioma
data/raw/Training\notumor\Tr-no_1387.jpg,notumor
data/raw/Training\pituitary\Tr-pi_30.jpg,pituitary
data/raw/Training\notumor\Tr-no_1389.jpg,notumor
data/raw/Training\glioma\Tr-gl_1192.jpg,glioma
data/raw/Training\glioma\Tr-gl_1178.jpg,glioma
data/raw/Training\meningioma\Tr-me_530.jpg,meningioma
data/raw/Training\notumor\Tr-no_1119.jpg,notumor
data/raw/Training\pituitary\Tr-pi_254.jpg,pituitary
data/raw/Training\notumor\Tr-no_438.jpg,notumor
data/raw/Training\pituitary\Tr-pi_1266.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_1134.jpg,pituitary
data/raw/Training\glioma\Tr-gl_953.jpg,glioma
data/raw/Training\pituitary\Tr-pi_34.jpg,pituitary
data/raw/Training\meningioma\Tr-me_175.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_57.jpg,pituitary
data/raw/Training\meningioma\Tr-me_1211.jpg,meningioma
data/raw/Training\notumor\Tr-no_476.jpg,notumor
data/raw/Training\notumor\Tr-no_827.jpg,notumor
data/raw/Training\meningioma\Tr-me_1157.jpg,meningioma
data/raw/Training\meningioma\Tr-me_1149.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_1307.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_364.jpg,pituitary
data/raw/Training\meningioma\Tr-me_164.jpg,meningioma
data/raw/Training\notumor\Tr-no_527.jpg,notumor
data/raw/Training\pituitary\Tr-pi_1223.jpg,pituitary
data/raw/Training\glioma\Tr-gl_622.jpg,glioma
data/raw/Training\pituitary\Tr-pi_702.jpg,pituitary
data/raw/Training\notumor\Tr-no_310.jpg,notumor
data/raw/Training\pituitary\Tr-pi_1220.jpg,pituitary
data/raw/Training\glioma\Tr-gl_1147.jpg,glioma
data/raw/Training\glioma\Tr-gl_1355.jpg,glioma
data/raw/Training\meningioma\Tr-me_422.jpg,meningioma
data/raw/Training\notumor\Tr-no_856.jpg,notumor
data/raw/Training\glioma\Tr-gl_299.jpg,glioma
data/raw/Training\meningioma\Tr-me_526.jpg,meningioma
data/raw/Training\notumor\Tr-no_770.jpg,notumor
data/raw/Training\glioma\Tr-gl_985.jpg,glioma
data/raw/Training\meningioma\Tr-me_147.jpg,meningioma
data/raw/Training\glioma\Tr-gl_95.jpg,glioma
data/raw/Training\pituitary\Tr-pi_715.jpg,pituitary
data/raw/Training\notumor\Tr-no_290.jpg,notumor
data/raw/Training\pituitary\Tr-pi_815.jpg,pituitary
data/raw/Training\notumor\Tr-no_1313.jpg,notumor
data/raw/Training\glioma\Tr-gl_489.jpg,glioma
data/raw/Training\pituitary\Tr-pi_773.jpg,pituitary
data/raw/Training\notumor\Tr-no_240.jpg,notumor
data/raw/Training\glioma\Tr-gl_1376.jpg,glioma
data/raw/Training\notumor\Tr-no_590.jpg,notumor
data/raw/Training\pituitary\Tr-pi_217.jpg,pituitary
data/raw/Training\meningioma\Tr-me_983.jpg,meningioma
data/raw/Training\notumor\Tr-no_259.jpg,notumor
data/raw/Training\notumor\Tr-no_122.jpg,notumor
data/raw/Training\glioma\Tr-gl_403.jpg,glioma
data/raw/Training\notumor\Tr-no_602.jpg,notumor
data/raw/Training\glioma\Tr-gl_294.jpg,glioma
data/raw/Training\meningioma\Tr-me_987.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_1154.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_1209.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_600.jpg,pituitary
data/raw/Training\notumor\Tr-no_11.jpg,notumor
data/raw/Training\pituitary\Tr-pi_1152.jpg,pituitary
data/raw/Training\notumor\Tr-no_440.jpg,notumor
data/raw/Training\pituitary\Tr-pi_1111.jpg,pituitary
data/raw/Training\meningioma\Tr-me_1045.jpg,meningioma
data/raw/Training\meningioma\Tr-me_1143.jpg,meningioma
data/raw/Training\notumor\Tr-no_1334.jpg,notumor
data/raw/Training\glioma\Tr-gl_393.jpg,glioma
data/raw/Training\pituitary\Tr-pi_211.jpg,pituitary
data/raw/Training\meningioma\Tr-me_68.jpg,meningioma
data/raw/Training\glioma\Tr-gl_1330.jpg,glioma
data/raw/Training\meningioma\Tr-me_456.jpg,meningioma
data/raw/Training\notumor\Tr-no_286.jpg,notumor
data/raw/Training\glioma\Tr-gl_880.jpg,glioma
data/raw/Training\glioma\Tr-gl_443.jpg,glioma
data/raw/Training\meningioma\Tr-me_1218.jpg,meningioma
data/raw/Training\notumor\Tr-no_292.jpg,notumor
data/raw/Training\glioma\Tr-gl_1250.jpg,glioma
data/raw/Training\notumor\Tr-no_588.jpg,notumor
data/raw/Training\notumor\Tr-no_162.jpg,notumor
data/raw/Training\notumor\Tr-no_822.jpg,notumor
data/raw/Training\pituitary\Tr-pi_699.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_286.jpg,pituitary
data/raw/Training\meningioma\Tr-me_200.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_819.jpg,pituitary
data/raw/Training\glioma\Tr-gl_681.jpg,glioma
data/raw/Training\meningioma\Tr-me_99.jpg,meningioma
data/raw/Training\glioma\Tr-gl_73.jpg,glioma
data/raw/Training\meningioma\Tr-me_240.jpg,meningioma
data/raw/Training\glioma\Tr-gl_268.jpg,glioma
data/raw/Training\notumor\Tr-no_1045.jpg,notumor
data/raw/Training\meningioma\Tr-me_505.jpg,meningioma
data/raw/Training\notumor\Tr-no_576.jpg,notumor
data/raw/Training\meningioma\Tr-me_529.jpg,meningioma
data/raw/Training\notumor\Tr-no_343.jpg,notumor
data/raw/Training\glioma\Tr-gl_762.jpg,glioma
data/raw/Training\notumor\Tr-no_1059.jpg,notumor
data/raw/Training\meningioma\Tr-me_304.jpg,meningioma
data/raw/Training\notumor\Tr-no_1230.jpg,notumor
data/raw/Training\notumor\Tr-no_769.jpg,notumor
data/raw/Training\notumor\Tr-no_772.jpg,notumor
data/raw/Training\meningioma\Tr-me_300.jpg,meningioma
data/raw/Training\glioma\Tr-gl_1226.jpg,glioma
data/raw/Training\pituitary\Tr-pi_253.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_710.jpg,pituitary
data/raw/Training\glioma\Tr-gl_357.jpg,glioma
data/raw/Training\glioma\Tr-gl_17.jpg,glioma
data/raw/Training\meningioma\Tr-me_666.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_1082.jpg,pituitary
data/raw/Training\glioma\Tr-gl_168.jpg,glioma
data/raw/Training\notumor\Tr-no_727.jpg,notumor
data/raw/Training\meningioma\Tr-me_579.jpg,meningioma
data/raw/Training\notumor\Tr-no_1203.jpg,notumor
data/raw/Training\pituitary\Tr-pi_113.jpg,pituitary
data/raw/Training\glioma\Tr-gl_115.jpg,glioma
data/raw/Training\notumor\Tr-no_432.jpg,notumor
data/raw/Training\pituitary\Tr-pi_1306.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_1310.jpg,pituitary
data/raw/Training\notumor\Tr-no_252.jpg,notumor
data/raw/Training\meningioma\Tr-me_72.jpg,meningioma
data/raw/Training\notumor\Tr-no_1217.jpg,notumor
data/raw/Training\meningioma\Tr-me_64.jpg,meningioma
data/raw/Training\meningioma\Tr-me_459.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_1230.jpg,pituitary
data/raw/Training\glioma\Tr-gl_519.jpg,glioma
data/raw/Training\glioma\Tr-gl_1086.jpg,glioma
